feature,importance
loc_ic_mou_8,0.04577243360131477
loc_og_mou_8,0.04337320890492938
total_ic_mou_8,0.03844385121776301
loc_ic_t2m_mou_8,0.03780466229728802
loc_og_t2m_mou_8,0.03480962617358075
loc_ic_t2t_mou_8,0.03121310782432935
arpu_8,0.03007608580225083
roam_og_mou_8,0.029769109275002367
total_og_mou_8,0.029657760867100803
loc_og_t2t_mou_8,0.02680560552203069
roam_ic_mou_8,0.026400046438473965
total_rech_amt_8,0.025918956481353884
last_day_rch_amt_8,0.02564528690696892
offnet_mou_8,0.021053195740650472
og_mou_decline,0.017398207002709637
rech_amt_decline,0.01569185757443478
std_ic_mou_8,0.014429227430114726
loc_ic_t2f_mou_8,0.013196937050532008
ic_mou_decline,0.012569451613703313
max_rech_amt_8,0.011678426578888377
onnet_mou_8,0.011431282584237383
loc_og_t2f_mou_8,0.010630847688244915
std_ic_t2m_mou_8,0.010446523908007663
av_rech_amt_data_8,0.008971382715457735
total_rech_num_8,0.008683028928710307
arpu_7,0.008208615644952922
aon,0.008005720851393134
std_og_mou_8,0.00790751728953236
std_og_t2m_mou_8,0.00785282258399211
total_rech_amt_7,0.007237492521652726
total_ic_mou_7,0.006765757037687749
total_og_mou_7,0.006579230723275769
mobile_number,0.006493171336088561
std_og_mou_7,0.006450867736581229
loc_ic_mou_7,0.006450076737624746
offnet_mou_7,0.00642534536930846
loc_og_t2m_mou_7,0.006186433399945
loc_og_t2m_mou_6,0.006166609614778407
arpu_6,0.006150190272570683
spl_og_mou_8,0.0060229279649214205
loc_ic_t2m_mou_7,0.006003786044202447
total_rech_amt_6,0.005926770824240082
loc_og_mou_7,0.0058825522134549205
avg_rech_6_7,0.005750341577490583
onnet_mou_7,0.0057178152621271735
loc_og_mou_6,0.005616106964724868
loc_ic_t2t_mou_6,0.00552889069979462
total_ic_mou_6,0.005460142654769941
total_rech_num_7,0.00539819622114918
offnet_mou_6,0.005385216717816569
loc_og_t2t_mou_7,0.005322099999536106
loc_ic_t2m_mou_6,0.005237386731336023
loc_og_t2t_mou_6,0.00523722620441046
loc_ic_mou_6,0.005235873063982619
total_og_mou_6,0.005124453059972456
loc_ic_t2t_mou_7,0.005119360508869322
onnet_mou_6,0.005054845087953156
total_rech_num_6,0.004966838542382762
vol_2g_mb_8,0.0048968682853403195
max_rech_data_8,0.004886114693774587
std_og_mou_6,0.004817687398758598
std_og_t2t_mou_8,0.004810999579842727
std_og_t2m_mou_7,0.004756919920448996
std_ic_t2t_mou_8,0.004654483110217982
std_ic_mou_7,0.004588727070236156
std_og_t2t_mou_7,0.004455587909412691
max_rech_amt_6,0.004397241771687495
spl_og_mou_7,0.0043319114148822006
std_ic_t2m_mou_7,0.004219669640978868
std_og_t2m_mou_6,0.004109839747442801
roam_og_mou_7,0.004097048838935591
loc_ic_t2f_mou_6,0.004064514693329479
last_day_rch_amt_7,0.004054655039485307
roam_ic_mou_7,0.004020434808646839
fb_user_8,0.00401604847101954
std_og_t2t_mou_6,0.003917134852984799
loc_ic_t2f_mou_7,0.0038739975976626716
std_ic_t2m_mou_6,0.003869907414702436
std_ic_mou_6,0.003865150453755487
max_rech_amt_7,0.003803730337863482
vol_3g_mb_8,0.0037863281184784075
loc_og_t2f_mou_6,0.003604636397182509
arpu_2g_8,0.0034597665057248665
std_ic_t2t_mou_7,0.003393677397557841
last_day_rch_amt_6,0.0033761486783398776
spl_og_mou_6,0.003263125801359484
std_ic_t2t_mou_6,0.0031265690489824067
ic_others_8,0.0030723317059090736
loc_og_t2f_mou_7,0.002882909147168958
roam_ic_mou_6,0.002800010236292658
loc_og_t2c_mou_8,0.002682452308380323
std_ic_t2f_mou_8,0.0026392636891013864
aug_vbc_3g,0.0026332016395954672
roam_og_mou_6,0.002582789050926079
arpu_3g_8,0.0023708776576294444
isd_ic_mou_7,0.0022650850428849066
spl_ic_mou_8,0.002203533638283686
ic_others_7,0.002169983366025449
loc_og_t2c_mou_7,0.0021506577443580316
vol_2g_mb_7,0.0021309514741170957
total_rech_data_8,0.0021259502129926428
vol_2g_mb_6,0.002108578059542304
og_others_6,0.002079486435769949
isd_ic_mou_6,0.002023910374039668
av_rech_amt_data_7,0.0019957080109132223
max_rech_data_6,0.0019089788484395016
arpu_2g_7,0.001903056601608235
loc_og_t2c_mou_6,0.0018941603261148077
spl_ic_mou_6,0.00186978266702309
vol_3g_mb_7,0.0018674213432712011
jul_vbc_3g,0.0018631868492986125
arpu_2g_6,0.0018604388558278975
av_rech_amt_data_6,0.0018490607293096342
ic_others_6,0.0018256814297101488
arpu_3g_6,0.0018069390164760757
std_ic_t2f_mou_7,0.001737269519153883
isd_ic_mou_8,0.001693974347354654
sep_vbc_3g,0.001670712459959629
max_rech_data_7,0.0016417301556541045
jun_vbc_3g,0.0016175343615853564
arpu_3g_7,0.0016134456345379914
std_ic_t2f_mou_6,0.0015719942689536746
vol_3g_mb_6,0.00153857477583513
isd_og_mou_7,0.001457100874372803
isd_og_mou_6,0.0014374690530410115
total_rech_data_7,0.001300323408235819
total_rech_data_6,0.001260491202928629
std_og_t2f_mou_7,0.0012407459051640948
std_og_t2f_mou_6,0.0011462773985648714
isd_og_mou_8,0.0011132419192183356
count_rech_2g_7,0.0010211561775740575
count_rech_3g_8,0.001002583291945178
count_rech_2g_8,0.0009955006888360753
sachet_2g_7,0.000990722832827748
spl_ic_mou_7,0.0009511473329757331
count_rech_2g_6,0.0009115054775915832
sachet_2g_6,0.0009056231107731163
std_og_t2f_mou_8,0.0008958165472289483
count_rech_3g_7,0.0008789299743277749
sachet_2g_8,0.0007347393578996515
monthly_3g_8,0.000601563739048146
monthly_3g_7,0.0005881820618631451
count_rech_3g_6,0.0005772861641642496
monthly_2g_8,0.0004959151461934969
monthly_3g_6,0.0004675617470600882
monthly_2g_6,0.0004303721376718366
fb_user_7,0.00042079269993675007
sachet_3g_6,0.00041031454177381174
sachet_3g_7,0.0003960288287713411
fb_user_6,0.0003664023999178694
monthly_2g_7,0.0003424505865128823
sachet_3g_8,0.00017904590364723326
og_others_8,0.0001563354618172847
og_others_7,0.00013058317127020226
night_pck_user_6,0.0001189732345680116
night_pck_user_7,9.902812374182064e-05
night_pck_user_8,6.445092486149747e-05
std_og_t2o_mou,0.0
loc_og_t2o_mou,0.0
std_ic_t2o_mou_8,0.0
std_og_t2c_mou_7,0.0
loc_ic_t2o_mou,0.0
std_og_t2c_mou_6,0.0
std_ic_t2o_mou_7,0.0
std_og_t2c_mou_8,0.0
circle_id,0.0
std_ic_t2o_mou_6,0.0
